"Category","CpA Retention","CpC Retention","CpG Retention","CpT Retention"
"A03_1",1.395099,1.3953389999999999,72.904213,1.26544
"A04_1",1.1899490000000001,1.139062,72.061539,0.9743720000000001
"A05_1",0.8896950000000001,0.957267,74.633001,0.8076329999999999
"A06_0",6.862693999999999,7.415745,73.265853,5.158026
"A07_1",1.598961,1.435642,73.306876,1.347791
"A08_1",0.861054,0.9335359999999999,71.594887,0.7864990000000001
"A09_1",0.9862869999999999,0.906771,74.109887,0.792725
"A10_1",1.0447039999999999,0.8724259999999999,71.803189,0.8487629999999999
"B02_1",1.3494380000000001,1.421914,67.722641,1.2789679999999999
"B03_1",1.302339,1.3776059999999999,72.949838,1.229374
"B04_1",1.971877,1.8850959999999999,73.814638,1.8256029999999999
"B05_1",1.055053,0.931521,71.512533,0.8314
"B06_0",1.4758149999999999,1.4265510000000001,73.602651,1.3228280000000001
"B07_1",1.044344,1.088447,72.787487,0.918911
"B08_1",0.8896700000000001,0.9202760000000001,73.284119,0.785267
"B09_1",1.160515,1.020445,72.916377,0.9043000000000001
"B11_1",1.1873440000000002,1.2307439999999998,66.63694,1.086012
"C01_1",1.060808,0.9861730000000001,70.321175,0.870397
"C02_1",1.798892,1.756306,69.536513,1.6265729999999998
"C03_1",1.059971,1.060139,72.01223300000001,0.9425309999999999
"C04_1",2.288809,2.2683180000000003,70.512821,1.542239
"C05_1",1.0284170000000001,0.976024,72.481942,0.8643609999999999
"C06_0",0.7947620000000001,0.79888,70.061282,0.685834
"C07_1",0.973808,0.973805,73.659655,0.858735
"C09_1",0.894652,0.778617,72.403105,0.689786
"C10_1",1.5891969999999997,1.5248350000000002,65.185602,1.319648
"C12_0",1.254945,1.311581,71.815448,1.147416
"D01_1",0.843305,0.891111,69.59280100000001,0.770838
"D02_1",0.796383,0.8240890000000001,71.66619800000001,0.709795
"D03_1",0.7703289999999999,0.8857210000000001,66.000096,0.75964
"D04_1",0.806646,0.804155,71.995507,0.698932
"D05_1",1.009189,0.834531,73.624021,0.762263
"D06_0",0.7833100000000001,0.795096,67.197345,0.688747
"D07_1",0.8808659999999999,0.9244870000000001,70.292515,0.821908
"D08_1",0.941622,0.877533,75.11017,0.781183
"D10_1",12.996836,10.843152,75.47076700000001,11.847026
"D11_1",1.6975110000000002,1.7070889999999999,72.49229,1.559313
"D12_0",0.9318740000000001,0.8081430000000001,71.65495899999999,0.7202970000000001
"E01_1",1.155678,1.011495,72.57444,0.9065230000000001
"E02_1",0.977525,0.848764,74.576547,0.759695
"E03_1",1.030882,0.815215,72.437903,0.725752
"E04_1",1.617548,1.57706,72.896937,1.429639
"E05_1",1.263507,1.121209,71.69574,1.016506
"E06_0",22.417523,18.840193,77.355175,20.609730000000003
"E07_1",34.731721,29.421241999999996,81.43840300000001,31.662916000000003
"E08_1",1.301533,1.2879800000000001,69.294447,1.193947
"E09_1",0.742984,0.759866,70.703616,0.635049
"E10_1",0.740885,0.838678,70.504404,0.709167
"E11_1",0.766837,0.835359,71.644837,0.7153660000000001
"E12_0",1.5019120000000001,1.437868,74.853187,1.282453
"F01_1",39.99565,35.569587000000006,80.558463,35.938835000000005
"F02_1",0.9283899999999999,0.947788,69.317162,0.8055100000000001
"F03_1",0.647668,0.63952,72.528473,0.524594
"F04_1",0.8295220000000001,0.8929090000000001,70.464117,0.773697
"F05_1",0.893033,0.87182,70.844161,0.7468739999999999
"F06_2",0.756246,0.740577,71.220397,0.615505
"F07_1",2.091266,1.655914,73.706938,1.555614
"F08_1",0.979943,0.924204,71.555014,0.816419
"F09_1",0.933664,0.837182,73.518338,0.74529
"F10_1",0.989805,1.027664,70.365472,0.89241
"F11_1",1.09563,1.0419690000000001,73.590307,0.941943
"F12_2",0.963331,1.02679,73.50795500000001,0.892891
"G01_1",1.20865,1.061835,71.910727,1.068314
"G02_1",1.029145,1.046022,72.64816499999999,0.9206650000000001
"G05_1",0.8568299999999999,0.8463409999999999,72.818631,0.728294
"G06_2",1.131785,1.2326190000000001,71.94964900000001,1.083349
"G07_1",0.756606,0.7874789999999999,67.154949,0.6894899999999999
"G08_1",1.4508750000000001,1.4484920000000001,72.04231,1.329704
"G09_1",1.421233,1.343333,73.293128,1.232307
"G10_1",1.3196919999999999,1.202894,71.350886,1.0977789999999998
"H03_1",0.9807069999999999,0.864457,72.668919,0.7984929999999999
"H04_1",1.2507590000000002,1.211336,71.830755,0.972431
"H05_1",0.989501,1.0144490000000002,72.05032700000001,0.8796550000000001
"H06_50",1.292571,1.256642,73.225566,1.126413
"H07_1",0.739562,0.8456929999999999,73.783523,0.7193050000000001
"H09_1",1.304401,0.885787,73.215935,0.8506549999999999