sample,cell_count
A03_1,1
A04_1,1
A05_1,1
A06_0,0
A07_1,1
A08_1,1
A09_1,1
A10_1,1
B02_1,1
B03_1,1
B04_1,1
B05_1,1
B06_0,0
B07_1,1
B08_1,1
B09_1,1
B11_1,1
C01_1,1
C02_1,1
C03_1,1
C04_1,1
C05_1,1
C06_0,0
C07_1,1
C09_1,1
C10_1,1
C12_0,0
D01_1,1
D02_1,1
D03_1,1
D04_1,1
D05_1,1
D06_0,0
D07_1,1
D08_1,1
D10_1,1
D11_1,1
D12_0,0
E01_1,1
E02_1,1
E03_1,1
E04_1,1
E05_1,1
E06_0,0
E07_1,1
E08_1,1
E09_1,1
E10_1,1
E11_1,1
E12_0,0
F01_1,1
F02_1,1
F03_1,1
F04_1,1
F05_1,1
F06_1,1
F07_1,1
F08_1,1
F09_1,1
F10_1,1
F11_1,1
F12_1,1
G01_1,1
G02_1,1
G05_1,1
G06_1,1
G07_1,1
G08_1,1
G09_1,1
G10_1,1
H03_1,1
H04_1,1
H05_1,1
H06_50,50
H07_1,1
H09_1,1